spec_area,video_id,title,creator,url,transcript,status
Combat Rogue,p-yTLhju3H4,"Rogue P3 BIS Gear & Prio Guide (shadow resist, high prio items, best talents)",SNO x ROGUECRAFT,https://www.youtube.com/watch?v=p-yTLhju3H4,sources/youtube-transcripts-clean/p-yTLhju3H4.txt,transcribed
Fury Warrior,q_VdxqKmm7k,Fury Warrior Phase 3 BIS LIST (TBC CLASSIC),Ragebtw,https://www.youtube.com/watch?v=q_VdxqKmm7k,sources/youtube-transcripts-clean/q_VdxqKmm7k.txt,transcribed
Fury Warrior,STxvv_E7r-Y,Phase 3 Fury Warrior BiS and Prio Guide - Don't fall into these traps! | TBC Classic,Marrow,https://www.youtube.com/watch?v=STxvv_E7r-Y,sources/youtube-transcripts-clean/STxvv_E7r-Y.txt,transcribed
Arms Warrior,yXE0bWWhz9o,ARMS WARRIOR BIS PHASE 3 TBC CLASSIC (WE ALL KEBAB NOW!),tomatosaucin,https://www.youtube.com/watch?v=yXE0bWWhz9o,sources/youtube-transcripts-clean/yXE0bWWhz9o.txt,transcribed
BM Hunter,hsIsJVIyOCE,Phase 3 Beast Mastery Hunter BiS and Prio Guide | TBC Classic,Veramos Gaming,https://www.youtube.com/watch?v=hsIsJVIyOCE,sources/youtube-transcripts-clean/hsIsJVIyOCE.txt,transcribed
Survival Hunter,yqQagrZrgos,Phase 3 Survival Hunter BiS and Prio Guide | TBC Classic,Veramos Gaming,https://www.youtube.com/watch?v=yqQagrZrgos,sources/youtube-transcripts-clean/yqQagrZrgos.txt,transcribed
Enhancement Shaman,2d-1x_z7NdE,TBC Enhancement Shaman Tier 6 / Phase 3 BiS List! | Time to Ascend! | Best in Slot,Darkest_TV,https://www.youtube.com/watch?v=2d-1x_z7NdE,sources/youtube-transcripts-clean/2d-1x_z7NdE.txt,transcribed
Enhancement Shaman,hfmde-xAD4w,Phase 3 + 4 TBC Loot Guide for Physical DPS - Enhancement Shaman Edition,Jambrosay,https://www.youtube.com/watch?v=hfmde-xAD4w,sources/youtube-transcripts-clean/hfmde-xAD4w.txt,transcribed
Retribution Paladin,N3aQ2v1KAxI,Classic TBC Retribution Paladin: Phase 3 & 4 BIS,TheRealBlayst,https://www.youtube.com/watch?v=N3aQ2v1KAxI,sources/youtube-transcripts-clean/N3aQ2v1KAxI.txt,transcribed
Feral Cat,Flgbx9eII7U,Phase 3 Loot Guide - Black Temple & Mt Hyjal - Feral Druid,Griftin,https://www.youtube.com/watch?v=Flgbx9eII7U,sources/youtube-transcripts-clean/Flgbx9eII7U.txt,transcribed
Feral Cat,fGOTOjZX45o,Feral Druid DPS Phase 3 BiS (Classic TBC),Rugs,https://www.youtube.com/watch?v=fGOTOjZX45o,,captions unavailable
